Seed,Rooms,Connections,Corridors,FloorCells,RoomCells,CorridorCells,AverageRoomArea,SmallestRoomArea,LargestRoomArea,TotalCorridorLength,AverageCorridorLength,GraphDistance,ShortestPlayablePath
1,13,12,12,1360,1261,238,97.00,30,266,268,22.33,4,131
2,13,12,12,1204,1045,274,80.38,35,270,321,26.75,4,114
3,14,13,13,1379,1276,258,91.14,40,168,295,22.69,4,104
4,16,15,15,1446,1310,272,81.88,30,168,349,23.27,4,103
5,13,12,12,1078,939,255,72.23,40,182,302,25.17,4,112
6,12,11,11,1529,1390,285,115.83,25,450,328,29.82,3,91
7,14,13,13,1598,1475,280,105.36,25,357,329,25.31,3,105
8,12,11,11,1350,1236,260,103.00,30,308,291,26.45,4,100
9,16,15,15,1587,1457,306,91.06,35,210,367,24.47,4,107
10,12,11,11,1546,1454,221,121.17,35,312,325,29.55,3,96
11,15,14,14,1597,1484,277,98.93,30,243,303,21.64,4,104
12,12,11,11,1297,1165,267,97.08,42,195,324,29.45,3,86
13,14,13,13,1561,1404,320,100.29,35,260,365,28.08,4,109
14,12,11,11,1483,1352,246,112.67,25,368,304,27.64,4,106
15,13,12,12,1607,1482,266,114.00,25,280,329,27.42,3,97
16,12,11,11,1588,1481,253,123.42,36,420,280,25.45,4,96
17,15,14,14,1616,1474,318,98.27,35,225,380,27.14,4,107
18,12,11,11,1168,1072,249,89.33,30,198,275,25.00,4,109
19,14,13,13,1706,1582,273,113.00,40,312,325,25.00,4,102
20,14,13,13,1276,1146,283,81.86,30,210,324,24.92,4,110
21,14,13,13,1454,1327,283,94.79,30,198,345,26.54,3,104
22,13,12,12,1647,1550,231,119.23,36,221,297,24.75,3,101
23,13,12,12,1503,1367,293,105.15,25,308,347,28.92,3,101
24,13,12,12,1144,1021,267,78.54,30,200,306,25.50,4,108
25,15,14,14,1245,1120,298,74.67,40,150,323,23.07,4,107
26,15,14,14,1597,1465,276,97.67,30,198,317,22.64,4,104
27,14,13,13,1349,1209,275,86.36,30,228,310,23.85,4,102
28,14,13,13,1532,1417,251,101.21,30,286,286,22.00,4,93
29,12,11,11,1734,1627,272,135.58,40,480,339,30.82,3,87
30,15,14,14,1343,1208,284,80.53,30,189,334,23.86,4,115
31,11,10,10,1681,1534,284,139.45,25,504,336,33.60,3,92
32,14,13,13,1410,1288,297,92.00,45,275,328,25.23,4,93
33,12,11,11,1789,1677,262,139.75,35,286,317,28.82,3,102
34,14,13,13,1391,1283,251,91.64,35,342,312,24.00,3,98
35,12,11,11,1050,935,211,77.92,30,192,235,21.36,4,106
36,14,13,13,1576,1486,292,106.14,35,260,310,23.85,3,102
37,12,11,11,1510,1428,212,119.00,35,525,242,22.00,4,94
38,14,13,13,1379,1211,304,86.50,35,161,328,25.23,3,100
39,12,11,11,1199,1094,218,91.17,40,208,255,23.18,4,104
40,15,14,14,1572,1456,289,97.07,35,210,333,23.79,4,104
41,10,9,9,1386,1280,218,128.00,30,418,240,26.67,4,105
42,14,13,13,1163,1011,286,72.21,30,140,341,26.23,4,103
43,15,14,14,1973,1870,284,124.67,35,750,320,22.86,3,109
44,14,13,13,1236,1076,276,76.86,36,144,368,28.31,3,91
45,14,13,13,1172,1063,235,75.93,25,154,272,20.92,4,106
46,14,13,13,1092,954,263,68.14,36,128,299,23.00,4,88
47,15,14,14,2012,1927,295,128.47,35,420,320,22.86,4,95
48,14,13,13,1542,1430,269,102.14,40,357,304,23.38,3,95
49,14,13,13,1285,1145,255,81.79,25,210,277,21.31,4,97
50,11,10,10,1684,1575,260,143.18,45,528,270,27.00,3,114
51,13,12,12,1307,1170,275,90.00,25,195,326,27.17,3,105
52,11,10,10,1403,1339,223,121.73,30,264,269,26.90,3,97
53,15,14,14,1311,1200,250,80.00,30,154,296,21.14,4,100
54,12,11,11,1160,1021,250,85.08,35,224,352,32.00,3,100
55,15,14,14,1492,1377,286,91.80,36,171,342,24.43,4,103
56,12,11,11,1533,1392,287,116.00,30,504,346,31.45,3,103
57,14,13,13,1689,1548,283,110.57,35,231,312,24.00,4,98
58,12,11,11,1346,1227,249,102.25,40,240,287,26.09,4,93
59,14,13,13,1366,1276,227,91.14,40,250,288,22.15,4,103
60,12,11,11,1251,1135,241,94.58,30,220,257,23.36,4,104
61,15,14,14,1466,1355,246,90.33,60,136,285,20.36,4,93
62,11,10,10,1104,1020,186,92.73,25,180,217,21.70,4,93
63,15,14,14,1668,1535,299,102.33,30,621,328,23.43,4,97
64,12,11,11,1327,1240,207,103.33,56,165,249,22.64,4,101
65,14,13,13,1545,1445,249,103.21,42,252,281,21.62,4,100
66,14,13,13,1569,1430,303,102.14,25,323,333,25.62,4,144
67,14,13,13,1100,918,306,65.57,25,165,377,29.00,3,101
68,14,13,13,1555,1434,272,102.43,40,198,317,24.38,4,98
69,13,12,12,1398,1231,286,94.69,40,234,302,25.17,4,102
70,15,14,14,1342,1212,261,80.80,35,297,318,22.71,3,105
71,16,15,15,1665,1561,288,97.56,30,420,352,23.47,4,101
72,14,13,13,1746,1636,296,116.86,35,390,323,24.85,4,119
73,11,10,10,1730,1625,235,147.73,40,600,293,29.30,3,98
74,15,14,14,1464,1358,256,90.53,25,180,308,22.00,4,105
75,12,11,11,1268,1165,311,97.08,42,312,365,33.18,3,94
76,14,13,13,1509,1397,279,99.79,25,486,299,23.00,4,96
77,13,12,12,1534,1384,301,106.46,30,396,322,26.83,3,107
78,14,13,13,1346,1218,265,87.00,25,169,299,23.00,4,99
79,10,9,9,1535,1436,253,143.60,35,648,302,33.56,3,63
80,14,13,13,1928,1805,278,128.93,45,304,315,24.23,4,100
81,12,11,11,1141,1000,278,83.33,40,155,305,27.73,4,106
82,14,13,13,1374,1229,287,87.79,30,171,309,23.77,4,110
83,11,10,10,1451,1358,207,123.45,25,459,220,22.00,4,87
84,16,15,15,1510,1367,290,85.44,30,168,321,21.40,4,112
85,12,11,11,1314,1223,217,101.92,35,357,235,21.36,4,82
86,16,15,15,1270,1131,302,70.69,25,192,344,22.93,4,93
