Seed,Rooms,Connections,Corridors,FloorCells,RoomCells,CorridorCells,CAAddedCells,AverageRoomArea,SmallestRoomArea,LargestRoomArea,TotalCorridorLength,AverageCorridorLength,GraphDistance,ShortestPlayablePath,GenerationTimeMs
1,13,12,12,1891,1261,238,531,97.00,30,266,268,22.33,4,131,45.2527
2,13,12,12,1702,1045,274,498,80.38,35,270,321,26.75,4,114,18.8906
3,14,13,13,1965,1276,258,586,91.14,40,168,295,22.69,4,104,21.3932
4,16,15,15,2064,1310,272,618,81.88,30,168,349,23.27,4,103,22.6544
5,13,12,12,1589,939,255,511,72.23,40,182,302,25.17,4,80,17.2807
6,12,11,11,2031,1390,285,502,115.83,25,450,328,29.82,3,91,20.5873
7,14,13,13,2151,1475,280,553,105.36,25,357,329,25.31,3,105,23.1041
8,12,11,11,1846,1236,260,496,103.00,30,308,291,26.45,4,100,19.5661
9,16,15,15,2256,1457,306,669,91.06,35,210,367,24.47,4,107,25.2981
10,12,11,11,2108,1454,221,562,121.17,35,312,325,29.55,3,96,23.5946
11,15,14,14,2217,1484,277,620,98.93,30,243,303,21.64,4,104,25.0670
12,12,11,11,1766,1165,267,469,97.08,42,195,324,29.45,3,86,17.8226
13,14,13,13,2112,1404,320,551,100.29,35,260,365,28.08,4,109,23.5995
14,12,11,11,1979,1352,246,496,112.67,25,368,304,27.64,4,106,20.3217
15,13,12,12,2148,1482,266,541,114.00,25,280,329,27.42,3,95,22.4442
16,12,11,11,2105,1481,253,517,123.42,36,420,280,25.45,4,96,22.3250
17,15,14,14,2130,1474,318,514,98.27,35,225,380,27.14,4,107,23.0596
18,12,11,11,1662,1072,249,494,89.33,30,198,275,25.00,4,109,17.7709
19,14,13,13,2280,1582,273,574,113.00,40,312,325,25.00,4,102,25.1439
20,14,13,13,1797,1146,283,521,81.86,30,210,324,24.92,4,110,19.4798
21,14,13,13,1968,1327,283,514,94.79,30,198,345,26.54,3,104,21.3554
22,13,12,12,2186,1550,231,539,119.23,36,221,297,24.75,3,101,24.4026
23,13,12,12,2025,1367,293,522,105.15,25,308,347,28.92,3,101,22.0179
24,13,12,12,1593,1021,267,449,78.54,30,200,306,25.50,4,108,16.7072
25,15,14,14,1760,1120,298,515,74.67,40,150,323,23.07,4,107,19.1666
26,15,14,14,2217,1465,276,620,97.67,30,198,317,22.64,4,104,30.1124
27,14,13,13,1907,1209,275,558,86.36,30,228,310,23.85,4,100,20.6017
